City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,rio claro,-22.4114,-47.5614,91.4,58,63,1.86,BR,1704653903
118,inari,68.906,27.0288,10.6,87,100,10.0,FI,1704653903
119,pundong,-7.9522,110.3486,76.24,90,100,3.85,ID,1704653903
120,kosh-agach,50.0,88.6667,-1.7,97,100,4.0,RU,1704653903
121,kargasok,59.0556,80.8572,-11.04,97,94,5.01,RU,1704653903
122,hithadhoo,-0.6,73.0833,81.68,79,97,14.0,MV,1704653903
123,san luis,-33.295,-66.3356,83.17,43,66,4.72,AR,1704653904
124,lihue,21.9789,-159.3672,74.44,84,75,5.75,US,1704653675
125,thompson,55.7435,-97.8558,-12.84,70,20,6.91,CA,1704653747
126,port blair,11.6667,92.75,79.29,74,0,8.79,IN,1704653904
127,novodvinsk,64.4165,40.8122,15.55,99,98,5.01,RU,1704653904
128,pionerskiy,54.9508,20.2275,10.15,81,100,18.59,RU,1704653904
129,box elder,41.5005,-112.8764,29.55,55,61,6.51,US,1704653904
130,bria,6.5423,21.9863,75.47,20,30,2.82,CF,1704653905
131,mata-utu,-13.2816,-176.1745,83.26,77,100,8.86,WF,1704653905
132,st. john's,47.5649,-52.7093,24.98,72,20,37.98,CA,1704653707
133,nemuro,43.3236,145.575,26.69,77,19,10.38,JP,1704653905
134,usogorsk,63.4106,48.6872,9.54,94,100,8.63,RU,1704653905
135,tofol,5.3248,163.0078,81.34,80,100,19.04,FM,1704653905
136,namibe,-15.1961,12.1522,72.86,79,100,3.83,AO,1704653906
137,vanimo,-2.6741,141.3028,77.97,88,100,2.91,PG,1704653906
138,general conesa,-40.1,-64.4333,90.81,15,14,21.21,AR,1704653906
139,anadyr,64.75,177.4833,9.1,92,100,22.37,RU,1704653906
140,arkhangel'sk,64.5401,40.5433,15.91,92,100,8.95,RU,1704653824
141,aasiaat,68.7098,-52.8699,14.32,76,100,15.52,GL,1704653906
142,bujaru,-1.515,-48.0447,80.04,93,100,2.64,BR,1704653906
143,reszel,54.0504,21.1458,8.24,91,100,9.44,PL,1704653907
144,haapsalu,58.9431,23.5414,-0.02,77,72,3.69,EE,1704653907
145,sarupathar,26.1984,93.8094,56.39,81,0,1.79,IN,1704653907
146,hasaki,35.7333,140.8333,32.4,64,8,25.05,JP,1704653907
147,yellowknife,62.456,-114.3525,-29.7,79,40,2.3,CA,1704653907
148,maragogi,-9.0122,-35.2225,84.52,56,0,11.34,BR,1704653907
149,tazovsky,67.4667,78.7,-11.22,94,48,7.09,RU,1704653908
150,nova sintra,14.8667,-24.7167,70.48,72,0,16.08,CV,1704653908
151,parnu,58.3859,24.4971,-5.71,84,100,1.14,EE,1704653908
152,batouri,4.4333,14.3667,78.67,19,99,1.77,CM,1704653908
153,kodinsk,58.6881,99.1844,-20.56,100,73,2.86,RU,1704653908
154,illizi,26.4833,8.4667,58.8,25,0,4.18,DZ,1704653909
155,dudinka,69.4058,86.1778,-3.39,98,100,18.01,RU,1704653909
156,mahina,-17.5065,-149.489,83.97,74,40,4.61,PF,1704653909
157,gamboula,4.1178,15.1393,77.41,22,51,2.57,CF,1704653909
158,chonchi,-42.6128,-73.8092,67.32,62,65,6.15,CL,1704653909
159,narvik,68.4384,17.4272,35.38,95,100,8.99,NO,1704653909
160,spring creek,40.7266,-115.5859,25.39,84,100,11.18,US,1704653909
161,sola,-13.8833,167.55,80.26,81,100,14.0,VU,1704653910
162,bikenibeu village,1.3673,173.1241,80.56,89,75,5.75,KI,1704653910
163,harper,4.375,-7.7169,81.84,80,46,10.78,LR,1704653910
164,keflavik,64.0049,-22.5624,45.03,100,100,29.93,IS,1704653910
165,sint michiel liber,12.15,-68.9833,85.82,70,20,14.97,CW,1704653910
166,klyuchi,52.2667,79.1667,26.01,84,100,17.92,RU,1704653910
167,mar del plata,-38.0023,-57.5575,75.09,85,40,11.5,AR,1704653674
168,saldanha,-33.0117,17.9442,66.25,74,0,22.68,ZA,1704653911
169,geraldton,-28.7667,114.6,73.81,73,10,9.22,AU,1704653773
170,bogo,11.0517,124.0055,78.57,85,89,10.18,PH,1704653911
171,vorgashor,67.5833,63.95,-7.83,100,100,9.53,RU,1704653911
172,alice springs,-23.7,133.8833,75.22,82,40,1.01,AU,1704653911
173,crucecita,-28.95,-58.9833,81.27,69,94,13.42,AR,1704653912
174,rabo de peixe,37.8,-25.5833,60.31,67,20,17.27,PT,1704653912
175,taoudenni,22.6783,-3.9836,75.7,19,3,6.31,ML,1704653912
176,nadi,-17.8,177.4167,75.2,94,40,4.61,FJ,1704653818
177,marand,38.4329,45.7749,36.88,59,13,5.41,IR,1704653912
178,dawei,14.0833,98.2,71.92,78,5,3.27,MM,1704653912
179,yantarnyy,54.8717,19.9381,4.86,84,98,18.23,RU,1704653913
180,cabo san lucas,22.8909,-109.9124,75.61,57,0,5.26,MX,1704653854
181,penafiel,41.2084,-8.2829,45.09,76,90,1.16,PT,1704653913
182,bartonville,40.6503,-89.652,36.32,91,100,8.05,US,1704653913
183,hamilton,39.1834,-84.5333,37.42,83,100,20.71,US,1704653377
184,kidal,18.4411,1.4078,78.64,10,100,6.82,ML,1704653913
185,oropesa del mar,40.1,0.15,49.37,47,0,33.13,ES,1704653913
186,kavaratti,10.5669,72.642,82.53,74,98,7.54,IN,1704653914
187,port macquarie,-31.4333,152.9167,61.9,88,99,10.58,AU,1704653914
188,san mariano,7.5,126.0,70.12,92,100,2.93,PH,1704653914
189,kavieng,-2.5744,150.7967,81.97,77,96,3.67,PG,1704653914
190,karungdong,5.8844,121.263,79.2,84,100,2.21,PH,1704653914
191,afaahiti,-17.75,-149.2833,82.27,82,53,9.64,PF,1704653914
192,lodwar,3.1191,35.5973,89.01,28,3,6.35,KE,1704653914
193,margate,51.3813,1.3862,39.87,73,30,7.0,GB,1704653581
194,saipan,15.1355,145.701,79.5,89,100,8.05,MP,1704653915
195,avarua,-21.2078,-159.775,80.65,89,75,14.97,CK,1704653915
196,vila velha,-20.3297,-40.2925,84.15,87,75,9.22,BR,1704653915
197,sao joao da barra,-21.6403,-41.0511,87.89,76,10,11.68,BR,1704653915
198,college,64.8569,-147.8028,13.98,77,75,8.05,US,1704653621
199,jiwani,25.05,61.7417,73.06,60,0,6.08,PK,1704653916
200,waltham,42.3765,-71.2356,34.39,87,100,16.11,US,1704653854
201,camayenne,9.535,-13.6878,86.09,58,75,6.91,GN,1704653916
202,nephi,39.7102,-111.8363,29.28,87,100,7.7,US,1704653916
203,daru,-9.0763,143.2092,78.24,91,100,5.57,PG,1704653916
204,nagqu,31.5,92.0,5.65,49,0,3.96,CN,1704653916
205,buala,-8.145,159.5921,79.88,81,18,4.47,SB,1704653917
206,remire-montjoly,4.9167,-52.2667,86.04,62,100,10.36,GF,1704653917
207,diamantino,-14.4086,-56.4461,84.29,74,35,7.92,BR,1704653917
208,tchintabaraden,15.8969,5.7985,74.77,12,18,9.84,NE,1704653917
209,tralee,52.2704,-9.7026,35.85,93,0,6.91,IE,1704653917
210,prado,-17.3411,-39.2208,80.94,76,100,8.34,BR,1704653917
211,lospalos,-8.5186,127.0025,73.76,88,100,0.54,TL,1704653917
212,paredon,16.0333,-93.8667,90.55,46,18,9.66,MX,1704653918
213,colonia,50.9333,6.95,33.96,64,100,10.36,DE,1704653862
214,new norfolk,-42.7826,147.0587,60.3,99,100,3.04,AU,1704653918
215,somerset east,-32.7217,25.588,62.17,86,100,11.07,ZA,1704653918
216,horta,38.5333,-28.6333,64.04,85,75,21.85,PT,1704653918
217,berriane,32.8265,3.7669,54.41,36,12,7.36,DZ,1704653721
218,korla,41.7597,86.1469,21.61,74,92,5.12,CN,1704653919
219,nova vicosa,-17.8919,-39.3719,80.92,75,100,8.01,BR,1704653919
220,el calafate,-50.3408,-72.2768,55.92,46,20,17.25,AR,1704653919
221,port-vila,-17.7338,168.3219,74.8,94,20,2.3,VU,1704653919
222,necochea,-38.5473,-58.7368,74.19,61,7,13.42,AR,1704653919
223,manokwari,-0.8667,134.0833,78.44,79,98,1.68,ID,1704653919
224,tongouson,5.0214,120.1328,80.73,82,99,7.36,PH,1704653920
225,maintirano,-18.0667,44.0167,84.06,77,100,4.74,MG,1704653920
226,la passe,45.5549,-0.8967,41.23,74,10,12.03,FR,1704653920
227,peruibe,-24.32,-46.9983,80.06,75,8,8.39,BR,1704653920
228,karratha,-20.7377,116.8463,87.73,30,2,13.73,AU,1704653920
229,limulunga,-15.0969,23.1376,73.31,81,100,0.76,ZM,1704653920
230,arraial do cabo,-22.9661,-42.0278,85.96,61,0,11.5,BR,1704653920
231,muroto-misakicho,33.2833,134.15,41.18,53,2,15.97,JP,1704653921
232,jiaojiang,28.6803,121.4428,44.01,74,84,3.89,CN,1704653921
233,sao felix do xingu,-6.6447,-51.995,82.4,71,97,1.41,BR,1704653921
234,utrik,11.2278,169.8474,81.37,69,93,15.66,MH,1704653921
235,morant bay,17.8815,-76.4093,87.42,71,15,12.24,JM,1704653921
236,hammerfest,70.6634,23.6821,28.85,86,100,13.8,NO,1704653921
237,chilaw,7.5758,79.7953,77.02,89,72,10.33,LK,1704653922
238,hermanus,-34.4187,19.2345,64.85,69,98,8.08,ZA,1704653922
239,anatuya,-28.4606,-62.8347,100.62,32,9,12.88,AR,1704653922
240,hirapur hamesha,21.5333,79.7667,64.85,69,5,4.59,IN,1704653922
